1password-cli	2.34.0-1
adduser	3.152
alsa-utils	1.2.14-1
apt	3.0.3
apt-utils	3.0.3
aria2	1.37.0+debian-3
armbian-bsp-cli-nanopi-r6s-vendor	26.2.1
armbian-config	26.2.0-trunk.832.0502.212243
armbian-firmware	26.2.1
armbian-zsh	26.2.1
base-files	26.2.1-13.8+deb13u4-trixie
base-passwd	3.6.7
bash	5.2.37-2+b8
bash-completion	1:2.16.0-7
bc	1.07.1-4+b1
bind9-dnsutils	1:9.20.21-1~deb13u1
bind9-host	1:9.20.21-1~deb13u1
bind9-libs:arm64	1:9.20.21-1~deb13u1
binutils	2.44-3
binutils-aarch64-linux-gnu	2.44-3
binutils-common:arm64	2.44-3
bsdextrautils	2.41-5
bsdutils	1:2.41-5
btrfs-progs	6.14-1
bubblewrap	0.11.0-2
build-essential	12.12
bzip2	1.0.8-6
ca-certificates	20250419
chrony	4.6.1-3+deb13u1
cloudflared	2026.3.0
cockpit	337-1
cockpit-bridge	337-1
cockpit-machines	332-1
cockpit-storaged	337-1
cockpit-system	337-1
cockpit-ws	337-1
console-setup	1.242~deb13u1
console-setup-linux	1.242~deb13u1
containerd.io	2.2.3-1~debian.13~trixie
coreutils	9.7-3
cpio	2.15+dfsg-2
cpp	4:14.2.0-1
cpp-14	14.2.0-19
cpp-14-aarch64-linux-gnu	14.2.0-19
cpp-aarch64-linux-gnu	4:14.2.0-1
cron	3.0pl1-197
cron-daemon-common	3.0pl1-197
curl	8.14.1-2+deb13u2
dash	0.5.12-12
dbus	1.16.2-2
dbus-bin	1.16.2-2
dbus-daemon	1.16.2-2
dbus-session-bus-common	1.16.2-2
dbus-system-bus-common	1.16.2-2
dbus-user-session	1.16.2-2
dconf-gsettings-backend:arm64	0.40.0-5
dconf-service	0.40.0-5
debconf	1.5.91
debconf-utils	1.5.91
debian-archive-keyring	2025.1
debianutils	5.23.2
debsums	3.0.2.3
device-tree-compiler	1.7.2-2+b1
dialog	1.3-20250116-1
diffutils	1:3.10-4
dirmngr	2.4.7-21+deb13u1+b2
dmidecode	3.6-2
dmsetup	2:1.02.205-2
dnscrypt-proxy	2.1.8+ds1-1+b4
dnsmasq	2.91-1
dnsmasq-base	2.91-1
docker-buildx-plugin	0.33.0-1~debian.13~trixie
docker-ce	5:29.4.2-2~debian.13~trixie
docker-ce-cli	5:29.4.2-2~debian.13~trixie
docker-compose-plugin	5.1.3-1~debian.13~trixie
dosfstools	4.2-1.2
dpkg	1.22.22
dpkg-dev	1.22.22
dracut-install	106-6
e2fsprogs	1.47.2-3+b10
emacs-bin-common	1:30.1+1-6
